Gene	cluster
Penk	Cluster_0
Drd2	Cluster_0
Sgcz	Cluster_0
Adora2a	Cluster_0
Htr2c	Cluster_0
Gucy1a1	Cluster_0
Foxp1	Cluster_0
Kctd8	Cluster_0
Caln1	Cluster_0
Grik3	Cluster_0
Cacnb2	Cluster_0
Cntnap2	Cluster_0
Unc5d	Cluster_0
Hs3st4	Cluster_0
Ryr3	Cluster_0
Elmod1	Cluster_0
Pde1c	Cluster_0
Camk4	Cluster_0
Pde7b	Cluster_0
Rarb	Cluster_0
Gng7	Cluster_0
Phactr1	Cluster_0
Pde10a	Cluster_0
Slit3	Cluster_0
Kcnip4	Cluster_0
Cacna2d3	Cluster_0
Mgat4c	Cluster_0
Grm5	Cluster_0
Arpp19	Cluster_0
Spock3	Cluster_0
Zfp804a	Cluster_0
Grm7	Cluster_0
Unc13c	Cluster_0
Hpca	Cluster_0
Kcnq5	Cluster_0
Gnal	Cluster_0
Nrg1	Cluster_0
Slc24a4	Cluster_0
Cpne5	Cluster_0
Tmtc1	Cluster_0
Cacna1e	Cluster_0
Gprin3	Cluster_0
Rgs9	Cluster_0
Mctp1	Cluster_0
Pde1b	Cluster_0
Itpr1	Cluster_0
Cntn4	Cluster_0
Khdrbs2	Cluster_0
Kcnab1	Cluster_0
Calb1	Cluster_0
Lrrc7	Cluster_0
Prkcb	Cluster_0
Ppp3ca	Cluster_0
Epb41	Cluster_0
Adcy5	Cluster_0
Plppr1	Cluster_0
Galnt13	Cluster_0
Baiap2	Cluster_0
Gria3	Cluster_0
Fam135b	Cluster_0
Rnf150	Cluster_0
Dgkb	Cluster_0
Fstl4	Cluster_0
Ptpn5	Cluster_0
Shisa9	Cluster_0
Ppp1r2	Cluster_0
Lmo7	Cluster_0
Atp2b1	Cluster_0
Calm1	Cluster_0
Arhgap10	Cluster_0
Csmd1	Cluster_0
Cntnap5b	Cluster_0
Pdzd2	Cluster_0
Chn1	Cluster_0
Erc2	Cluster_0
Gnb5	Cluster_0
Rasgef1b	Cluster_0
Kcnk2	Cluster_0
Thsd7a	Cluster_0
Celf2	Cluster_0
Plekha5	Cluster_0
Cntnap5a	Cluster_0
Epha7	Cluster_0
Plk2	Cluster_0
Gabra4	Cluster_0
Cnksr2	Cluster_0
Ablim2	Cluster_0
Gpr158	Cluster_0
Sez6	Cluster_0
Kctd16	Cluster_0
Mei4	Cluster_0
Fras1	Cluster_0
Alcam	Cluster_0
Dgkh	Cluster_0
Gucy1b1	Cluster_0
Osbpl8	Cluster_0
Npas2	Cluster_0
Sh3rf2	Cluster_0
Camkv	Cluster_0
Arpp21	Cluster_0
Ptk2b	Cluster_0
Syndig1	Cluster_0
Iqgap2	Cluster_0
Wasf1	Cluster_0
Mpped2	Cluster_0
Fig4	Cluster_0
Cdh7	Cluster_0
Gabrg3	Cluster_0
Clvs1	Cluster_0
Ndst3	Cluster_0
Akap5	Cluster_0
Camk2b	Cluster_0
Ano3	Cluster_0
Grin2b	Cluster_0
Filip1	Cluster_0
Cdh8	Cluster_0
Upb1	Cluster_0
Sv2b	Cluster_0
Dlgap2	Cluster_0
Cntn5	Cluster_0
Lrtm1	Cluster_0
Kcna4	Cluster_0
Man1a	Cluster_0
Sv2c	Cluster_0
Aff3	Cluster_0
Prkch	Cluster_0
Trank1	Cluster_0
Arhgap6	Cluster_0
Adgrl2	Cluster_0
Myo5a	Cluster_0
A830018L16Rik	Cluster_0
Arpc1a	Cluster_0
Oprd1	Cluster_0
Snca	Cluster_0
Rbfox1	Cluster_0
Dach1	Cluster_0
Cartpt	Cluster_0
Fgf14	Cluster_0
Ndrg4	Cluster_0
Neto2	Cluster_0
Stk32a	Cluster_0
Gsg1l	Cluster_0
Lzts3	Cluster_0
Dlg2	Cluster_0
Rap1gap	Cluster_0
Kcnip2	Cluster_0
Mdh1	Cluster_0
Gria1	Cluster_0
Sh2d5	Cluster_0
Tomm70a	Cluster_0
2010300C02Rik	Cluster_0
Samd12	Cluster_0
Mrtfb	Cluster_0
Klhl29	Cluster_0
Tle4	Cluster_0
Stard5	Cluster_0
Slc35f3	Cluster_0
Homer1	Cluster_0
Gsdme	Cluster_0
Sgk1	Cluster_0
Neto1	Cluster_0
Tmem158	Cluster_0
Smpd3	Cluster_0
St8sia3	Cluster_0
Rnf112	Cluster_0
Tbc1d8	Cluster_0
Myt1l	Cluster_0
Pcsk2	Cluster_0
Ctnna3	Cluster_0
Lrrtm3	Cluster_0
Cdk17	Cluster_0
Rgs7bp	Cluster_0
D430041D05Rik	Cluster_0
Anks1b	Cluster_0
Cyld	Cluster_0
Cacnb4	Cluster_0
Actn1	Cluster_0
Dcc	Cluster_0
Gpr88	Cluster_0
Grm1	Cluster_0
